question_id,question_text,option_a,option_b,option_c,option_d,correct_option,category,difficulty_level
Q1,What is 3 - 2?,2,1,4,3,B,Math,Easy
Q2,What is 3 × 6?,19,18,13,16,B,Math,Easy
Q3,What is 59 + 44?,103,97,104,102,A,Math,Hard
Q4,What is 74 + 24?,115,85,98,96,C,Math,Hard
Q5,What is 9 × 11?,99,82,118,105,A,Math,Medium
Q6,What is 3 ÷ 1?,3,0,5,8,A,Math,Medium
Q7,What is 23 + 2?,22,20,21,25,D,Math,Medium
Q8,What is 79 + 54?,115,136,133,121,C,Math,Hard
Q9,What is 21 + 37?,55,49,69,58,D,Math,Medium
Q10,What is 52 + 9?,69,58,61,67,C,Math,Hard
Q11,What is 67 + 32?,102,88,99,113,C,Math,Hard
Q12,What is 9 × 4?,36,39,37,34,A,Math,Medium
Q13,What is 5 + 36?,46,41,48,49,B,Math,Medium
Q14,What is 30 - 12?,16,18,22,17,B,Math,Medium
Q15,What is 39 + 41?,82,67,80,90,C,Math,Medium
Q16,What is 40 + 30?,70,76,67,66,A,Math,Medium
Q17,What is 6 + 31?,40,38,37,35,C,Math,Medium
Q18,What is 12 + 13?,29,20,25,30,C,Math,Easy
Q19,What is 7 × 6?,50,42,48,43,B,Math,Medium
Q20,What is 9 - 2?,7,6,4,3,A,Math,Easy
Q21,What is 56 - 15?,45,38,41,44,C,Math,Medium
Q22,What is 1 × 11?,11,12,9,10,A,Math,Medium
Q23,What is 48 + 58?,127,106,93,89,B,Math,Hard
Q24,What is 64 + 11?,79,82,75,77,C,Math,Hard
Q25,What is 79 + 50?,108,146,129,120,C,Math,Hard
Q26,What is 4 × 11?,39,44,48,51,B,Math,Medium
Q27,What is 72 + 1?,72,63,67,73,D,Math,Hard
Q28,What is 5 - 2?,3,7,5,8,A,Math,Easy
Q29,What is 2 × 5?,14,11,13,10,D,Math,Easy
Q30,What is 80 + 1?,82,81,87,66,B,Math,Hard
Q31,What is 77 + 41?,118,141,106,104,A,Math,Hard
Q32,What is 79 - 48?,31,37,35,26,A,Math,Hard
Q33,What is 61 + 29?,107,98,90,106,C,Math,Hard
Q34,What is 6 + 16?,20,19,22,18,C,Math,Easy
Q35,What is 32 + 69?,113,121,101,88,C,Math,Hard
Q36,What is 42 - 16?,23,25,28,26,D,Math,Medium
Q37,What is 4 × 5?,20,19,17,18,A,Math,Easy
Q38,What is 55 + 75?,130,108,124,116,A,Math,Hard
Q39,What is 12 × 3?,38,35,43,36,D,Math,Medium
Q40,What is 43 + 52?,79,98,95,101,C,Math,Hard
Q41,What is 34 - 9?,26,25,27,28,B,Math,Medium
Q42,What is 15 - 11?,5,0,4,3,C,Math,Easy
Q43,What is 17 - 13?,2,7,0,4,D,Math,Easy
Q44,What is 11 × 7?,86,77,84,81,B,Math,Medium
Q45,What is 64 - 7?,53,51,65,57,D,Math,Hard
Q46,What is 90 ÷ 10?,7,9,10,8,B,Math,Medium
